[09.01.2026 10:44] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937471631_f9a73d83b90540a191623e7539559f68.mp4 | Цена перевода: $0.0002
[09.01.2026 10:45] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937471631_f9a73d83b90540a191623e7539559f68.mp4 | Цена перевода: $0.0002
[09.01.2026 10:45] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937471631_f9a73d83b90540a191623e7539559f68.mp4 | Цена перевода: $0.0002
[09.01.2026 10:46] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937563028_69278e09338c481b8941e2e66d40cdf6.mp4 | Цена перевода: $0.0004
[09.01.2026 10:46] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937563028_69278e09338c481b8941e2e66d40cdf6.mp4 | Цена перевода: $0.0004
[09.01.2026 10:47] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767937563028_69278e09338c481b8941e2e66d40cdf6.mp4 | Цена перевода: $0.0004
[09.01.2026 11:47] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767941230761_0b3a21936bbc4311a8c219adcef119e5.mp4 | Цена перевода: $0.0005
[09.01.2026 11:48] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767941230761_0b3a21936bbc4311a8c219adcef119e5.mp4 | Цена перевода: $0.0005
[09.01.2026 11:48] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767941230761_0b3a21936bbc4311a8c219adcef119e5.mp4 | Цена перевода: $0.0005
[09.01.2026 12:48] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767944915938_e2b0d63e22084ad5b0986e86e0cbeea8.mp4 | Цена перевода: $0.0007
[09.01.2026 12:49] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767944915938_e2b0d63e22084ad5b0986e86e0cbeea8.mp4 | Цена перевода: $0.0007
[09.01.2026 13:49] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767948546216_8e7a38adb895433c8d2682919de9399f.mp4 | Цена перевода: $0.0009
[09.01.2026 13:49] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767948546216_8e7a38adb895433c8d2682919de9399f.mp4 | Цена перевода: $0.0009
[09.01.2026 19:35] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767969317320_0e17ac73c358487688160de9b48a2742.mp4 | Цена перевода: $0.0010
[09.01.2026 19:36] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767969317320_0e17ac73c358487688160de9b48a2742.mp4 | Цена перевода: $0.0010
[09.01.2026 19:36] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767969317320_0e17ac73c358487688160de9b48a2742.mp4 | Цена перевода: $0.0010
[09.01.2026 19:49] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970145498_9f63ca06003945198ad7df10ad6e1bcc.mp4 | Цена перевода: $0.0012
[09.01.2026 19:49] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970145498_9f63ca06003945198ad7df10ad6e1bcc.mp4 | Цена перевода: $0.0012
[09.01.2026 19:50] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970145498_9f63ca06003945198ad7df10ad6e1bcc.mp4 | Цена перевода: $0.0012
[09.01.2026 19:50] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970211737_c65dc36e7a3e41ceb58725ac2ef2fe12.mp4 | Цена перевода: $0.0014
[09.01.2026 19:51] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970211737_c65dc36e7a3e41ceb58725ac2ef2fe12.mp4 | Цена перевода: $0.0014
[09.01.2026 19:51] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970211737_c65dc36e7a3e41ceb58725ac2ef2fe12.mp4 | Цена перевода: $0.0014
[09.01.2026 19:51] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970273437_ab89baee7dc24416a7657a93f4286985.mp4 | Цена перевода: $0.0016
[09.01.2026 19:52] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970273437_ab89baee7dc24416a7657a93f4286985.mp4 | Цена перевода: $0.0016
[09.01.2026 19:52] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970273437_ab89baee7dc24416a7657a93f4286985.mp4 | Цена перевода: $0.0016
[09.01.2026 19:52] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970351522_fc71b5a48ade4bc5a36e110788cad197.mp4 | Цена перевода: $0.0017
[09.01.2026 19:54] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970351522_fc71b5a48ade4bc5a36e110788cad197.mp4 | Цена перевода: $0.0017
[09.01.2026 19:54] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970351522_fc71b5a48ade4bc5a36e110788cad197.mp4 | Цена перевода: $0.0017
[09.01.2026 19:54] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970459558_34f94ca06e8e4ceca0065711fa008adf.mp4 | Цена перевода: $0.0019
[09.01.2026 19:54] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970459558_34f94ca06e8e4ceca0065711fa008adf.mp4 | Цена перевода: $0.0019
[09.01.2026 19:54] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970476307_a0065b01e22f45e4a4179c8002bae30a.mp4 | Цена перевода: $0.0021
[09.01.2026 19:54] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970476307_a0065b01e22f45e4a4179c8002bae30a.mp4 | Цена перевода: $0.0021
[09.01.2026 19:55] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970510480_6b8ee604167847f59611a8d99c2c390b.mp4 | Цена перевода: $0.0023
[09.01.2026 19:55] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970510480_6b8ee604167847f59611a8d99c2c390b.mp4 | Цена перевода: $0.0023
[09.01.2026 19:55] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970531795_ed2d9eedec1e4680a8bc03c7f772d9da.jpg | Цена перевода: $0.0002
[09.01.2026 19:55] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767970531795_ed2d9eedec1e4680a8bc03c7f772d9da.jpg | Цена перевода: $0.0002
[09.01.2026 21:23] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767975777984_4a4d2b003f1140a59057bd9777c545aa.jpg | Цена перевода: $0.0005
[09.01.2026 21:23] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767975777984_4a4d2b003f1140a59057bd9777c545aa.jpg | Цена перевода: $0.0005
[09.01.2026 21:23] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767975796856_c3f18239edc94cd39720150fda390fa2.mp4 | Цена перевода: $0.0012
[09.01.2026 21:24] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767975796856_c3f18239edc94cd39720150fda390fa2.mp4 | Цена перевода: $0.0012
[09.01.2026 21:24] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767975796856_c3f18239edc94cd39720150fda390fa2.mp4 | Цена перевода: $0.0012
[09.01.2026 21:44] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977033838_b324f321e34a44219d12afda5c976aa0.mp4 | Цена перевода: $0.0013
[09.01.2026 21:44] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977033838_b324f321e34a44219d12afda5c976aa0.mp4 | Цена перевода: $0.0013
[09.01.2026 21:44] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977033838_b324f321e34a44219d12afda5c976aa0.mp4 | Цена перевода: $0.0013
[09.01.2026 22:00] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977998746_d98220bca63d4a8da634b1ed64624582.MP4 | Цена перевода: $0.0015
[09.01.2026 22:01] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977998746_d98220bca63d4a8da634b1ed64624582.MP4 | Цена перевода: $0.0015
[09.01.2026 22:01] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767977998746_d98220bca63d4a8da634b1ed64624582.MP4 | Цена перевода: $0.0015
[09.01.2026 22:03] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767978222791_c7c76148b8fd484eae7399d2b0ce1e2c.jpg | Цена перевода: $0.0007
[09.01.2026 22:03] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767978222791_c7c76148b8fd484eae7399d2b0ce1e2c.jpg | Цена перевода: $0.0007
[09.01.2026 22:15] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767978952571_16e320df451845e7add57e4013c953bb.mp4 | Цена перевода: $0.0016
[09.01.2026 22:16] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767978952571_16e320df451845e7add57e4013c953bb.mp4 | Цена перевода: $0.0016
[09.01.2026 22:16] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767978952571_16e320df451845e7add57e4013c953bb.mp4 | Цена перевода: $0.0016
[09.01.2026 22:31] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767979895779_c4961f63aa6b41d29ba418f7f1cd1eb6.mp4 | Цена перевода: $0.0018
[09.01.2026 22:31] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767979895779_c4961f63aa6b41d29ba418f7f1cd1eb6.mp4 | Цена перевода: $0.0018
[09.01.2026 22:43] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767980634648_dcb17df8e402488cbe43cc0e5528f908.jpg | Цена перевода: $0.0024
[09.01.2026 22:44] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767980634648_dcb17df8e402488cbe43cc0e5528f908.jpg | Цена перевода: $0.0024
[09.01.2026 22:47] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767980831784_0a6092385b0343ecab24fb705986a6a1.mp4 | Цена перевода: $0.0020
[09.01.2026 22:47] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767980831784_0a6092385b0343ecab24fb705986a6a1.mp4 | Цена перевода: $0.0020
[09.01.2026 23:03] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767981774703_3f229f54901447eabdf1b6d0c9d047be.mp4 | Цена перевода: $0.0022
[09.01.2026 23:03] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767981774703_3f229f54901447eabdf1b6d0c9d047be.mp4 | Цена перевода: $0.0022
[09.01.2026 23:18] | Соцсеть: TG | Тип: Video | Ссылка: - | Цена перевода: $0.0001
[09.01.2026 23:18] | Соцсеть: FB | Тип: Video | Ссылка: - | Цена перевода: $0.0001
