[09.01.2026 23:52] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767984755030_cc57cbdc99f44efe97dbe981948fa83e.mp4 | Цена перевода: $0.0004
[09.01.2026 23:52] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767984755030_cc57cbdc99f44efe97dbe981948fa83e.mp4 | Цена перевода: $0.0004
[10.01.2026 00:07] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767985670625_898c0b6344bc4ca4bdfc18868265006c.mp4 | Цена перевода: $0.0005
[10.01.2026 00:08] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767985670625_898c0b6344bc4ca4bdfc18868265006c.mp4 | Цена перевода: $0.0005
[10.01.2026 00:08] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767985670625_898c0b6344bc4ca4bdfc18868265006c.mp4 | Цена перевода: $0.0005
[10.01.2026 00:46] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767987999817_2cef2c78afd342799f5bf0141186bf3f.mp4 | Цена перевода: $0.0005
[10.01.2026 00:47] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767987999817_2cef2c78afd342799f5bf0141186bf3f.mp4 | Цена перевода: $0.0005
[10.01.2026 00:47] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1767987999817_2cef2c78afd342799f5bf0141186bf3f.mp4 | Цена перевода: $0.0005
[10.01.2026 09:58] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768021103847_9ca17f536d724bf8b643941556b2e527.jpg | Цена перевода: $0.0002
[10.01.2026 09:58] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768021103847_9ca17f536d724bf8b643941556b2e527.jpg | Цена перевода: $0.0002
[10.01.2026 09:59] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768021176476_6603a9bc2a504ccfa07a2814545139ee.mp4 | Цена перевода: $0.0004
[10.01.2026 10:00] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768021176476_6603a9bc2a504ccfa07a2814545139ee.mp4 | Цена перевода: $0.0004
[10.01.2026 10:00] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768021176476_6603a9bc2a504ccfa07a2814545139ee.mp4 | Цена перевода: $0.0004
[10.01.2026 10:15] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768022150346_90c73dcb1fd8452eb3e0a93ddba18b35.mp4 | Цена перевода: $0.0006
[10.01.2026 10:16] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768022150346_90c73dcb1fd8452eb3e0a93ddba18b35.mp4 | Цена перевода: $0.0006
[10.01.2026 10:16] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768022150346_90c73dcb1fd8452eb3e0a93ddba18b35.mp4 | Цена перевода: $0.0006
[10.01.2026 10:31] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768023105609_55393098fdd84ee993ed6825c17d17d3.mp4 | Цена перевода: $0.0007
[10.01.2026 10:33] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768023105609_55393098fdd84ee993ed6825c17d17d3.mp4 | Цена перевода: $0.0007
[10.01.2026 10:33] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768023105609_55393098fdd84ee993ed6825c17d17d3.mp4 | Цена перевода: $0.0007
[10.01.2026 10:47] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768024045885_4b5048ab1f2c478e8c56921467e4bbfd.MP4 | Цена перевода: $0.0009
[10.01.2026 10:48] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768024045885_4b5048ab1f2c478e8c56921467e4bbfd.MP4 | Цена перевода: $0.0009
[10.01.2026 10:48] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768024045885_4b5048ab1f2c478e8c56921467e4bbfd.MP4 | Цена перевода: $0.0009
[10.01.2026 12:23] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768029794284_c39a82fc75f5424f88f7ae52076cfd16.mp4 | Цена перевода: $0.0011
[10.01.2026 12:23] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768029794284_c39a82fc75f5424f88f7ae52076cfd16.mp4 | Цена перевода: $0.0011
[10.01.2026 14:04] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768035890145_d5b76ce6d9ca4d598f2c4af1129df78e.jpg | Цена перевода: $0.0003
[10.01.2026 14:04] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768035890145_d5b76ce6d9ca4d598f2c4af1129df78e.jpg | Цена перевода: $0.0003
[11.01.2026 17:50] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768135823247_113fc8dee79c4308bf540388d2f23e30.mp4 | Цена перевода: $0.0004
[11.01.2026 17:50] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768135823247_113fc8dee79c4308bf540388d2f23e30.mp4 | Цена перевода: $0.0004
[11.01.2026 18:19] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137560098_07f3a486830d481bbcf07fd281c1a8f8.MP4 | Цена перевода: $0.0004
[11.01.2026 18:19] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137560098_07f3a486830d481bbcf07fd281c1a8f8.MP4 | Цена перевода: $0.0004
