[11.01.2026 23:53] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157538753_845f7fd4ea7743198d165a2dd134ce6e.mp4 | Цена перевода: $0.0002
[11.01.2026 23:53] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157538753_845f7fd4ea7743198d165a2dd134ce6e.mp4 | Цена перевода: $0.0002
[11.01.2026 23:54] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157538753_845f7fd4ea7743198d165a2dd134ce6e.mp4 | Цена перевода: $0.0002
[11.01.2026 23:59] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157932886_3050bae12258485ca131b0044ae9d78d.mp4 | Цена перевода: $0.0004
[11.01.2026 23:59] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157932886_3050bae12258485ca131b0044ae9d78d.mp4 | Цена перевода: $0.0004
[11.01.2026 23:59] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768157932886_3050bae12258485ca131b0044ae9d78d.mp4 | Цена перевода: $0.0004
[12.01.2026 00:01] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158078468_83a4c2fbe28c4b7c9d69ab8941cb392c.mp4 | Цена перевода: $0.0005
[12.01.2026 00:01] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158078468_83a4c2fbe28c4b7c9d69ab8941cb392c.mp4 | Цена перевода: $0.0005
[12.01.2026 00:03] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158078468_83a4c2fbe28c4b7c9d69ab8941cb392c.mp4 | Цена перевода: $0.0005
[12.01.2026 00:06] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158397511_c37d921df7424e70af5477ab30bc7830.mp4 | Цена перевода: $0.0007
[12.01.2026 00:07] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158397511_c37d921df7424e70af5477ab30bc7830.mp4 | Цена перевода: $0.0007
[12.01.2026 00:07] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768158397511_c37d921df7424e70af5477ab30bc7830.mp4 | Цена перевода: $0.0007
[12.01.2026 00:18] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159053181_a3ab998251694bc39adac67c71eae45c.mp4 | Цена перевода: $0.0009
[12.01.2026 00:18] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159053181_a3ab998251694bc39adac67c71eae45c.mp4 | Цена перевода: $0.0009
[12.01.2026 00:18] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159053181_a3ab998251694bc39adac67c71eae45c.mp4 | Цена перевода: $0.0009
[12.01.2026 00:26] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159548407_6f03b17ae1534d3caf11bea7a30831cf.MP4 | Цена перевода: $0.0011
[12.01.2026 00:26] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159548407_6f03b17ae1534d3caf11bea7a30831cf.MP4 | Цена перевода: $0.0011
[12.01.2026 00:26] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768159548407_6f03b17ae1534d3caf11bea7a30831cf.MP4 | Цена перевода: $0.0011
[12.01.2026 01:17] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768162655836_65ab59562eeb4ca1be28cf39970a59c7.jpg | Цена перевода: $0.0016
[12.01.2026 01:17] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768162655836_65ab59562eeb4ca1be28cf39970a59c7.jpg | Цена перевода: $0.0016
[12.01.2026 08:19] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768187917724_44fb24c6b6bf40eaa0e4023e123b82e8.mp4 | Цена перевода: $0.0002
[12.01.2026 08:20] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768187917724_44fb24c6b6bf40eaa0e4023e123b82e8.mp4 | Цена перевода: $0.0002
[12.01.2026 08:20] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768187917724_44fb24c6b6bf40eaa0e4023e123b82e8.mp4 | Цена перевода: $0.0002
[12.01.2026 09:22] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768191719087_d4ada5b8fd7649679f19c870f5004a8d.mp4 | Цена перевода: $0.0004
[12.01.2026 09:23] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768191719087_d4ada5b8fd7649679f19c870f5004a8d.mp4 | Цена перевода: $0.0004
[12.01.2026 09:23] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768191719087_d4ada5b8fd7649679f19c870f5004a8d.mp4 | Цена перевода: $0.0004
[12.01.2026 10:30] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768195781092_f0bea8dedb6e42a18fe5dc435c70935d.mp4 | Цена перевода: $0.0007
