[13.01.2026 00:23] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768245795627_d3add063bdd540fa99e1b66750a3df87.mp4 | Цена перевода: $0.0016
[13.01.2026 00:25] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768245795627_d3add063bdd540fa99e1b66750a3df87.mp4 | Цена перевода: $0.0016
[13.01.2026 00:25] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768245795627_d3add063bdd540fa99e1b66750a3df87.mp4 | Цена перевода: $0.0016
[13.01.2026 01:26] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768249568624_27023a1d726248889d72999fcac45161.mp4 | Цена перевода: $0.0002
[13.01.2026 01:29] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768249742757_7332b1dbdd4545d19d2dc33d6bb8ef99.mp4 | Цена перевода: $0.0022
[13.01.2026 01:43] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768250539311_ebda6f35482e4f7fa50bebd50dbf4b4c.mp4 | Цена перевода: $0.0004
[13.01.2026 01:48] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768250874842_ccaafa8ac6dd4bdda7bd723c316c9016.mp4 | Цена перевода: $0.0006
[13.01.2026 01:51] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768251039479_c7b69a49bfba42ca94a2041c5464dfbb.mp4 | Цена перевода: $0.0008
[13.01.2026 01:54] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768251220279_1233bb22e9f647519d3985653cb0cd5d.mp4 | Цена перевода: $0.0010
[13.01.2026 01:58] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768251476575_b45a275abe474a509db94427d3e508fd.mp4 | Цена перевода: $0.0035
[13.01.2026 02:01] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768251630554_507ff25ce839453e81397d31a3ebbb8a.mp4 | Цена перевода: $0.0037
[13.01.2026 02:05] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768251863536_6b48b0c8e52f4d1d9998a0344bcf0b44.mp4 | Цена перевода: $0.0002
[13.01.2026 02:17] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768252610049_97cff475a6b64323a75d9ae4c12a4120.mp4 | Цена перевода: $0.0002
[13.01.2026 02:19] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768252777035_93cc2dc453404d5983a17fa5264d2a1a.mp4 | Цена перевода: $0.0004
[13.01.2026 02:28] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768253307242_c9677285d0e84ac09bd3ae32f50c242e.mp4 | Цена перевода: $0.0002
[13.01.2026 02:33] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768253516532_355c81f621e64ab8897f89e3c06ebe63.mp4 | Цена перевода: $0.0003
[13.01.2026 02:38] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768253860717_250ec188dac44fcdaee82395146c0cad.mp4 | Цена перевода: $0.0005
[13.01.2026 02:41] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768254063850_b9aee2313f5941e69bd9b793eec7b757.mp4 | Цена перевода: $0.0007
[13.01.2026 02:45] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768254274725_b7149608831c4fa5b209baf07c8590e6.mp4 | Цена перевода: $0.0009
[13.01.2026 03:09] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768255752532_b35188835ffe40598c9fdf87588ad474.mp4 | Цена перевода: $0.0011
[13.01.2026 03:10] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768255752532_b35188835ffe40598c9fdf87588ad474.mp4 | Цена перевода: $0.0011
[13.01.2026 03:10] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768255752532_b35188835ffe40598c9fdf87588ad474.mp4 | Цена перевода: $0.0011
[13.01.2026 11:16] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768284968976_19c187bca32a4781825bbc17df945b64.mp4 | Цена перевода: $0.0012
[13.01.2026 11:17] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768284968976_19c187bca32a4781825bbc17df945b64.mp4 | Цена перевода: $0.0012
[13.01.2026 11:31] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768285860465_dfd929a0a4c84cf389ae1fee61b202ad.mp4 | Цена перевода: $0.0014
[13.01.2026 11:32] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768285860465_dfd929a0a4c84cf389ae1fee61b202ad.mp4 | Цена перевода: $0.0014
[13.01.2026 11:32] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768285860465_dfd929a0a4c84cf389ae1fee61b202ad.mp4 | Цена перевода: $0.0014
[13.01.2026 11:53] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768287173530_0b5ee1d5ecd74a1a8257679fa9fe9b8e.mp4 | Цена перевода: $0.0015
[13.01.2026 11:54] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768287173530_0b5ee1d5ecd74a1a8257679fa9fe9b8e.mp4 | Цена перевода: $0.0015
[13.01.2026 11:59] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768287173530_0b5ee1d5ecd74a1a8257679fa9fe9b8e.mp4 | Цена перевода: $0.0015
[13.01.2026 13:02] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768291318026_1af13b763c3145c4b438394cad047f8f.mp4 | Цена перевода: $0.0017
[13.01.2026 13:02] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768291318026_1af13b763c3145c4b438394cad047f8f.mp4 | Цена перевода: $0.0017
[13.01.2026 14:06] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768295141673_078809ef18414d219e8d17f4726c917e.mp4 | Цена перевода: $0.0019
[13.01.2026 14:06] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768295141673_078809ef18414d219e8d17f4726c917e.mp4 | Цена перевода: $0.0019
[13.01.2026 15:07] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768298829330_d06b3553ecea47f7856f94a3a0701f19.mp4 | Цена перевода: $0.0021
[13.01.2026 15:07] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768298829330_d06b3553ecea47f7856f94a3a0701f19.mp4 | Цена перевода: $0.0021
[13.01.2026 16:09] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768302527385_49a88252ca024efc9b2fefe93fba4f24.mp4 | Цена перевода: $0.0023
[13.01.2026 16:10] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768302527385_49a88252ca024efc9b2fefe93fba4f24.mp4 | Цена перевода: $0.0023
[13.01.2026 16:15] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768302527385_49a88252ca024efc9b2fefe93fba4f24.mp4 | Цена перевода: $0.0023
[13.01.2026 17:04] | Соцсеть: FB | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:04] | Соцсеть: IG | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:09] | Соцсеть: TG | Тип: Video | Ссылка: - | Цена перевода: $0.0025
[13.01.2026 17:54] | Соцсеть: FB | Тип: Video | Ссылка: - | Цена перевода: $0.0026
[13.01.2026 17:54] | Соцсеть: IG | Тип: Video | Ссылка: - | Цена перевода: $0.0026
