[14.01.2026 00:40] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768333159181_3f1d1195a6264f5397ec49b705896290.mp4 | Цена перевода: $0.0040
[14.01.2026 00:40] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768333159181_3f1d1195a6264f5397ec49b705896290.mp4 | Цена перевода: $0.0040
[14.01.2026 00:45] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768333159181_3f1d1195a6264f5397ec49b705896290.mp4 | Цена перевода: $0.0040
[14.01.2026 01:46] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768337156269_e6de1edbac6e46e58c8ab2c9559db37e.jpg | Цена перевода: $0.0004
[14.01.2026 01:46] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768337156269_e6de1edbac6e46e58c8ab2c9559db37e.jpg | Цена перевода: $0.0004
[14.01.2026 10:29] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768368570025_d491116148a6407fab650c2e099291b4.jpg | Цена перевода: $0.0006
[14.01.2026 10:29] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768368570025_d491116148a6407fab650c2e099291b4.jpg | Цена перевода: $0.0006
[14.01.2026 11:26] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768371958251_ebdc5035461d4cdea87bf06bab27dc48.jpg | Цена перевода: $0.0004
[14.01.2026 11:26] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768371958251_ebdc5035461d4cdea87bf06bab27dc48.jpg | Цена перевода: $0.0004
[14.01.2026 11:29] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768372136248_e0e666a144be48208516b08464993666.jpg | Цена перевода: $0.0002
[14.01.2026 11:29] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768372136248_e0e666a144be48208516b08464993666.jpg | Цена перевода: $0.0002
[14.01.2026 12:29] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768375747897_dd7f0156ea6e416c8f0aea3de1c9f427.jpg | Цена перевода: $0.0004
[14.01.2026 12:29] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768375747897_dd7f0156ea6e416c8f0aea3de1c9f427.jpg | Цена перевода: $0.0004
[14.01.2026 13:29] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768379365450_bd909d5e3f2348a6aa2a8a91c569d625.jpg | Цена перевода: $0.0006
[14.01.2026 13:29] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768379365450_bd909d5e3f2348a6aa2a8a91c569d625.jpg | Цена перевода: $0.0006
[14.01.2026 14:34] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768383241068_3333b17c386143819084f46e3b8e985a.mp4 | Цена перевода: $0.0008
[14.01.2026 14:34] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768383241068_3333b17c386143819084f46e3b8e985a.mp4 | Цена перевода: $0.0008
[14.01.2026 15:35] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768386940518_caf8295797524d29aa7519444c0b734d.mp4 | Цена перевода: $0.0012
[14.01.2026 15:35] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768386940518_caf8295797524d29aa7519444c0b734d.mp4 | Цена перевода: $0.0012
[14.01.2026 16:35] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768390534933_679f74641a254640ad752246d2c59f08.mp4 | Цена перевода: $0.0024
[14.01.2026 16:37] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768390534933_679f74641a254640ad752246d2c59f08.mp4 | Цена перевода: $0.0024
[14.01.2026 16:42] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768390534933_679f74641a254640ad752246d2c59f08.mp4 | Цена перевода: $0.0024
[14.01.2026 17:42] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768394535974_84c2cbd38362438d9ee4c73e62202e1d.mp4 | Цена перевода: $0.0026
[14.01.2026 17:43] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768394535974_84c2cbd38362438d9ee4c73e62202e1d.mp4 | Цена перевода: $0.0026
