[14.01.2026 23:56] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768416719281_3a2cda200403466c9ca8c3bd06421fad.mp4 | Цена перевода: $0.0066
[14.01.2026 23:57] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768416719281_3a2cda200403466c9ca8c3bd06421fad.mp4 | Цена перевода: $0.0066
[15.01.2026 00:06] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768416719281_3a2cda200403466c9ca8c3bd06421fad.mp4 | Цена перевода: $0.0066
[15.01.2026 00:52] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768420327064_5f94992847364414978519279c7ff800.jpg | Цена перевода: $0.0002
[15.01.2026 00:52] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768420327064_5f94992847364414978519279c7ff800.jpg | Цена перевода: $0.0002
[15.01.2026 01:07] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421250363_ee52ee43bca842ed9397dea50d445128.jpg | Цена перевода: $0.0014
[15.01.2026 01:07] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421250363_ee52ee43bca842ed9397dea50d445128.jpg | Цена перевода: $0.0014
[15.01.2026 01:07] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421269678_8ed26ccb8753479fa0744834c9bf0da7.jpg | Цена перевода: $0.0016
[15.01.2026 01:07] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421269678_8ed26ccb8753479fa0744834c9bf0da7.jpg | Цена перевода: $0.0016
[15.01.2026 01:08] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421278913_d864343939a845e4b3c26b2b0cf8a28d.jpg | Цена перевода: $0.0017
[15.01.2026 01:08] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421278913_d864343939a845e4b3c26b2b0cf8a28d.jpg | Цена перевода: $0.0017
[15.01.2026 01:08] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421286400_a8ec3a6fa7514c15abb7df3dd7841eda.jpg | Цена перевода: $0.0019
[15.01.2026 01:08] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421286400_a8ec3a6fa7514c15abb7df3dd7841eda.jpg | Цена перевода: $0.0019
[15.01.2026 01:10] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421428113_0cb2bdd1022842d68df6b1f311c6fed6.jpg | Цена перевода: $0.0021
[15.01.2026 01:10] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421428113_0cb2bdd1022842d68df6b1f311c6fed6.jpg | Цена перевода: $0.0021
[15.01.2026 01:10] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421440508_99bd22152daf46b5815de740c564ef50.jpg | Цена перевода: $0.0024
[15.01.2026 01:10] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421440508_99bd22152daf46b5815de740c564ef50.jpg | Цена перевода: $0.0024
[15.01.2026 01:10] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421448701_17c31625c54e4866a900026c5eaccc4a.jpg | Цена перевода: $0.0025
[15.01.2026 01:10] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421448701_17c31625c54e4866a900026c5eaccc4a.jpg | Цена перевода: $0.0025
[15.01.2026 01:11] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421458420_b788bb622cf84ef8ad44c68628fbd76a.jpg | Цена перевода: $0.0027
[15.01.2026 01:11] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421458420_b788bb622cf84ef8ad44c68628fbd76a.jpg | Цена перевода: $0.0027
[15.01.2026 01:11] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421469282_e8b25ac5b716494185c1e2ac42fa3bb8.jpg | Цена перевода: $0.0029
[15.01.2026 01:11] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421469282_e8b25ac5b716494185c1e2ac42fa3bb8.jpg | Цена перевода: $0.0029
[15.01.2026 01:17] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421868451_63ed6b23073546a98e6d77d7a8e1cf40.jpg | Цена перевода: $0.0031
[15.01.2026 01:17] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421868451_63ed6b23073546a98e6d77d7a8e1cf40.jpg | Цена перевода: $0.0031
[15.01.2026 01:18] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421880137_0bbe1438731448d38fada1c91302edf2.jpg | Цена перевода: $0.0032
[15.01.2026 01:18] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421880137_0bbe1438731448d38fada1c91302edf2.jpg | Цена перевода: $0.0032
[15.01.2026 01:18] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421888976_8b36ebbd846b4499935ec25393fd4df0.jpg | Цена перевода: $0.0034
[15.01.2026 01:18] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421888976_8b36ebbd846b4499935ec25393fd4df0.jpg | Цена перевода: $0.0034
[15.01.2026 01:18] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421900686_019ecdfc4ef54b02a5ddeaed26d69891.jpg | Цена перевода: $0.0036
[15.01.2026 01:18] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768421900686_019ecdfc4ef54b02a5ddeaed26d69891.jpg | Цена перевода: $0.0036
