[18.01.2026 10:09] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768712965703_a89f9381a22a461185bed3993a21ad90.mp4 | Цена перевода: $0.0002
[18.01.2026 10:10] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768712965703_a89f9381a22a461185bed3993a21ad90.mp4 | Цена перевода: $0.0002
[18.01.2026 10:15] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768712965703_a89f9381a22a461185bed3993a21ad90.mp4 | Цена перевода: $0.0002
[18.01.2026 13:31] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768725042782_5ffb726307984880807bb93e3810e3f7.mp4 | Цена перевода: $0.0002
[18.01.2026 13:32] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768725042782_5ffb726307984880807bb93e3810e3f7.mp4 | Цена перевода: $0.0002
[18.01.2026 13:32] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768725042782_5ffb726307984880807bb93e3810e3f7.mp4 | Цена перевода: $0.0002
[18.01.2026 16:18] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768735073900_205f0fa9dc3b4dfc9b92d272791ec137.mp4 | Цена перевода: $0.0000
[18.01.2026 16:19] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768735073900_205f0fa9dc3b4dfc9b92d272791ec137.mp4 | Цена перевода: $0.0000
[18.01.2026 16:24] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768735073900_205f0fa9dc3b4dfc9b92d272791ec137.mp4 | Цена перевода: $0.0000
[18.01.2026 17:25] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768739093903_2a97734b0a044d4fb138b25d63156316.jpg | Цена перевода: $0.0002
[18.01.2026 17:25] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768739093903_2a97734b0a044d4fb138b25d63156316.jpg | Цена перевода: $0.0002
[18.01.2026 18:49] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768744096280_90c3559012ed44ca826a1e8e342d86a4.mp4 | Цена перевода: $0.0000
[18.01.2026 18:50] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768744096280_90c3559012ed44ca826a1e8e342d86a4.mp4 | Цена перевода: $0.0000
[18.01.2026 18:55] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768744096280_90c3559012ed44ca826a1e8e342d86a4.mp4 | Цена перевода: $0.0000
[18.01.2026 20:04] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768748625008_1ddd0518e2624654b793e2b0a8a59c8d.mp4 | Цена перевода: $0.0000
[18.01.2026 20:05] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768748625008_1ddd0518e2624654b793e2b0a8a59c8d.mp4 | Цена перевода: $0.0000
[18.01.2026 20:10] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768748625008_1ddd0518e2624654b793e2b0a8a59c8d.mp4 | Цена перевода: $0.0000
[18.01.2026 21:12] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768752680162_575d4daac1404660bdcdd95addaac7af.mp4 | Цена перевода: $0.0000
[18.01.2026 21:12] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768752680162_575d4daac1404660bdcdd95addaac7af.mp4 | Цена перевода: $0.0000
[18.01.2026 21:17] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768752680162_575d4daac1404660bdcdd95addaac7af.mp4 | Цена перевода: $0.0000
[18.01.2026 22:09] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768756109603_69b5543ac91d48fa81adf03aff5481db.mp4 | Цена перевода: $0.0000
[18.01.2026 22:10] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768756109603_69b5543ac91d48fa81adf03aff5481db.mp4 | Цена перевода: $0.0000
[18.01.2026 22:10] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768756109603_69b5543ac91d48fa81adf03aff5481db.mp4 | Цена перевода: $0.0000
[18.01.2026 23:10] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768759802229_8e8ab18f99b8450b842e61e03a4c2e5a.mp4 | Цена перевода: $0.0000
[18.01.2026 23:11] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768759802229_8e8ab18f99b8450b842e61e03a4c2e5a.mp4 | Цена перевода: $0.0000
[18.01.2026 23:16] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768759802229_8e8ab18f99b8450b842e61e03a4c2e5a.mp4 | Цена перевода: $0.0000
